league_name,season_label,matches
Bundesliga,2021/2022,306
Bundesliga,2022/2023,306
Bundesliga,2023/2024,306
Bundesliga,2024/2025,306
Bundesliga,2025/2026,306
La Liga,2021/2022,380
La Liga,2022/2023,380
La Liga,2023/2024,380
La Liga,2024/2025,380
La Liga,2025/2026,380
La Liga,2026/2027,20
Ligue 1,2021/2022,380
Ligue 1,2022/2023,380
Ligue 1,2023/2024,306
Ligue 1,2024/2025,306
Ligue 1,2025/2026,306
Ligue 1,2026/2027,9
Premier League,2021/2022,380
Premier League,2022/2023,380
Premier League,2023/2024,380
Premier League,2024/2025,380
Premier League,2025/2026,380
Premier League,2026/2027,10
Primeira Liga,2021/2022,306
Primeira Liga,2022/2023,306
Primeira Liga,2023/2024,306
Primeira Liga,2024/2025,306
Primeira Liga,2025/2026,306
Primeira Liga,2026/2027,24
Serie A,2021/2022,380
Serie A,2022/2023,380
Serie A,2023/2024,380
Serie A,2024/2025,380
Serie A,2025/2026,380
Serie A,2026/2027,10
